Update,Type,Abundance
51000,Cooperator,4648
51000,Cheater,5048
51100,Cooperator,4508
51100,Cheater,5017
51200,Cooperator,4612
51200,Cheater,4822
51300,Cooperator,4765
51300,Cheater,4598
51400,Cooperator,4642
51400,Cheater,4644
51500,Cooperator,4602
51500,Cheater,4848
51600,Cooperator,4462
51600,Cheater,5066
51700,Cooperator,4699
51700,Cheater,4902
51800,Cooperator,4837
51800,Cheater,4745
51900,Cooperator,4615
51900,Cheater,4626
52000,Cooperator,4714
52000,Cheater,4578
52100,Cooperator,5054
52100,Cheater,4265
52200,Cooperator,5091
52200,Cheater,4268
52300,Cooperator,5224
52300,Cheater,4197
52400,Cooperator,5316
52400,Cheater,4114
52500,Cooperator,5307
52500,Cheater,4320
52600,Cooperator,5350
52600,Cheater,4307
52700,Cooperator,5363
52700,Cheater,4269
52800,Cooperator,5418
52800,Cheater,4091
52900,Cooperator,5421
52900,Cheater,4364
53000,Cooperator,5285
53000,Cheater,4060
53100,Cooperator,5253
53100,Cheater,4336
53200,Cooperator,5196
53200,Cheater,4695
53300,Cooperator,4757
53300,Cheater,4721
53400,Cooperator,5025
53400,Cheater,4819
53500,Cooperator,5108
53500,Cheater,4511
53600,Cooperator,5227
53600,Cheater,4331
53700,Cooperator,5281
53700,Cheater,4365
53800,Cooperator,5442
53800,Cheater,4134
53900,Cooperator,5542
53900,Cheater,4094
54000,Cooperator,5420
54000,Cheater,4001
54100,Cooperator,5279
54100,Cheater,4317
54200,Cooperator,5297
54200,Cheater,4173
54300,Cooperator,5017
54300,Cheater,4764
54400,Cooperator,5225
54400,Cheater,4378
54500,Cooperator,5111
54500,Cheater,4751
54600,Cooperator,5058
54600,Cheater,4600
54700,Cooperator,4988
54700,Cheater,4433
54800,Cooperator,4851
54800,Cheater,4848
54900,Cooperator,4630
54900,Cheater,4729
55000,Cooperator,4778
55000,Cheater,4909
55100,Cooperator,4798
55100,Cheater,4756
55200,Cooperator,4859
55200,Cheater,4942
55300,Cooperator,4779
55300,Cheater,5179
55400,Cooperator,4793
55400,Cheater,4945
55500,Cooperator,4774
55500,Cheater,4926
55600,Cooperator,4992
55600,Cheater,4858
55700,Cooperator,5004
55700,Cheater,4781
55800,Cooperator,4752
55800,Cheater,5046
55900,Cooperator,4842
55900,Cheater,4854
56000,Cooperator,4835
56000,Cheater,4817
56100,Cooperator,4706
56100,Cheater,5084
56200,Cooperator,4694
56200,Cheater,4979
56300,Cooperator,4728
56300,Cheater,5034
56400,Cooperator,4718
56400,Cheater,5111
56500,Cooperator,4649
56500,Cheater,4771
56600,Cooperator,4469
56600,Cheater,5108
56700,Cooperator,4493
56700,Cheater,5065
56800,Cooperator,4510
56800,Cheater,5168
56900,Cooperator,4514
56900,Cheater,5077
57000,Cooperator,4572
57000,Cheater,5124
57100,Cooperator,4566
57100,Cheater,4947
57200,Cooperator,4499
57200,Cheater,5123
57300,Cooperator,4696
57300,Cheater,4948
57400,Cooperator,4971
57400,Cheater,4764
57500,Cooperator,4677
57500,Cheater,5251
57600,Cooperator,4349
57600,Cheater,5399
57700,Cooperator,4291
57700,Cheater,5283
57800,Cooperator,4416
57800,Cheater,4949
57900,Cooperator,4585
57900,Cheater,4991
58000,Cooperator,4366
58000,Cheater,5141
58100,Cooperator,4257
58100,Cheater,5351
58200,Cooperator,3985
58200,Cheater,5444
58300,Cooperator,3928
58300,Cheater,5592
58400,Cooperator,3966
58400,Cheater,5372
58500,Cooperator,3963
58500,Cheater,5085
58600,Cooperator,3717
58600,Cheater,5765
58700,Cooperator,3695
58700,Cheater,5682
58800,Cooperator,3901
58800,Cheater,5592
58900,Cooperator,3948
58900,Cheater,5688
59000,Cooperator,3982
59000,Cheater,5480
59100,Cooperator,3735
59100,Cheater,5667
59200,Cooperator,3814
59200,Cheater,5574
59300,Cooperator,3877
59300,Cheater,5154
59400,Cooperator,3849
59400,Cheater,5490
59500,Cooperator,3943
59500,Cheater,5306
59600,Cooperator,3741
59600,Cheater,5555
59700,Cooperator,3867
59700,Cheater,5352
59800,Cooperator,3965
59800,Cheater,5320
59900,Cooperator,3910
59900,Cheater,5377
60000,Cooperator,3761
60000,Cheater,5613
60100,Cooperator,3900
60100,Cheater,5743
60200,Cooperator,3788
60200,Cheater,5723
60300,Cooperator,3675
60300,Cheater,5746
60400,Cooperator,3711
60400,Cheater,5619
60500,Cooperator,3828
60500,Cheater,5718
60600,Cooperator,3741
60600,Cheater,5493
60700,Cooperator,3654
60700,Cheater,5839
60800,Cooperator,3455
60800,Cheater,5497
60900,Cooperator,3569
60900,Cheater,5677
61000,Cooperator,3710
